Table A.1 Database,,,,,,,,,,,,,Database used in the following article: Can Past Failures Help Identify Vulnerable Bridges to Extreme Events? A Biomimetical Machine Learning Approach (DOI: 10.1007/s00366-019-00874-2)
Bridge,Year of incident,City/Country,Location,System,Material,Span (m),Age,Lanes*,Type,,,,
Bridge 12,1974,Canada,Rural,Truss/Arch,Steel,25,65,2,Collision/Impact,,,,
Brown Station Way,2018,USA,Rural,Truss/Arch,Steel,23,68,1,Collision/Impact,,,,
Turkey Creek Bridge,4/12/2002,"Sharon Springs, KS, USA",Rural,Truss/Arch,Timber,92,30,1,Fire,,,,
Old Bridgeton Covered Bridge,4/29/2005,"Bridgeton, IN, USA",Rural,Truss/Arch,Timber,81,137,1,Fire,,,,
The Jeffries Ford Covered Bridge,4/2/2002,"Bridgeton, IN, USA",Rural,Truss/Arch,Timber,62,87,1,Fire,,,,
Whites Bridge,7/7/2013,"Smyrna, MI, USA",Rural,Truss/Arch,Timber,36.5,144,1,Fire,,,,
Gudgeonville Covered Bridge,11/8/2008,"Girard, PA, USA",Rural,Truss/Arch,Timber,26,140,1,Fire,,,,
Portageville Railroad Bridge,1875,USA,Rural,Truss/Arch,Timber,24.3,23,1,Fire,,,,
Delta Covered Bridge,xx/08/2003,"Delta, IA, USA",Rural,Truss/Arch,Timber,24,136,1,Fire,,,,
Brookside Train Trestle,5/23/2006,"Brookside, AL, USA",Rural,Truss/Arch,Timber,20,103,1,Fire,,,,
160th Street Bridge,6/18/2008,"Page County, IA, USA",Rural,Truss/Arch,Timber,16.4,83,1,Fire,,,,
SR 241 Dry Creek Bridge,8/21/2009,"Yakima County, WA, USA",Rural,Truss/Arch,Timber,15.8,109,2,Fire,,,,
Dumbarton Rail Bridge,1/2/1998,"Palo Alto, CA, USA",Rural,Truss/Arch,Timber,13.5,88,1,Fire,,,,
Viaduct San Saba,5/19/2013,"San Saba, TX, USA",Rural,Truss/Arch,Timber,5,77,1,Fire,,,,
Kinzua Bridge,2003,USA,Rural,Truss/Arch,Timber,25,121,1,Wind,,,,
Hoskins Covered Bridge,1963,USA,Rural,Truss/Arch,Timber,22,25,1,Wind,,,,
Waterworks Covered Bridge,1957,USA,Rural,Truss/Arch,Timber,66,98,1,Storm/Scour,,,,
Blenheim Bridge,2011,USA,Rural,Truss/Arch,Timber,35,79,1,Storm/Scour,,,,
128th Avenue Bridge,2005,USA,Rural,Truss/Arch,Timber,21,56,1,Collision/Impact,,,,
128th Avenue Bridge,2005,USA,Rural,Truss/Arch,Timber,21,56,1,Collision/Impact,,,,
Highway 13 bridge,2016,USA,Rural,I-girder,Prestressed concrete,40,25,2,Storm/Scour,,,,
Carrabassett River Bridge,2011,USA,Rural,I-girder,Reinforced concrete,20,53,2,Storm/Scour,,,,
Valdese,7/24/1998,"Valdese, NC, USA",Rural,I-girder,Composite,29.5,39,2,Fire,,,,
Ranchero Overpass,5/5/2014,"Hesperia, CA , USA",Rural,I-girder,Steel,40,0,8,Fire,,,,
Puente Río Grande de Manatí,2017,USA,Rural,I-girder,Timber,19,39,2,Storm/Scour,,,,
Panther Creek Bridge,1938,USA,Sub-urban,Cable-stayed,Prestressed concrete,41,15,1,Storm/Scour,,,,
Cần Thơ Bridge,2007,Vietnam,Sub-urban,Cable-stayed,Composite,90,1,4,Storm/Scour,,,,
Showa Bridge,1964,Japan,Sub-urban,Cable-stayed,Steel,24,30,4,Earthquake,,,,
Rafiganj Rail Bridge,2002,India,Sub-urban,Cable-stayed,Steel,30,50,1,Collision/Impact,,,,
Granville Bridge,1977,Australia,Sub-urban,Cable-stayed,Steel,28,25,4,Collision/Impact,,,,
Rio Chiriquí,1999,Panama,Sub-urban,Suspension,Steel,200,72,2,Collision/Impact,,,,
Hoover Dam Bypass,2006,USA,Sub-urban,Truss/Arch,Prestressed concrete,323,1,2,Wind,,,,
River Rega Bridge,1913,Germany,Sub-urban,Truss/Arch,Reinforced concrete,65,30,1,Storm/Scour,,,,
Haderslis Bridge,1987,Switzerland,Sub-urban,Truss/Arch,Reinforced concrete,25,18,2,Storm/Scour,,,,
Belle Isle,1905,"MI, USA",Sub-urban,Truss/Arch,Steel,56,16,2,Fire,,,,
Honeymoon Bridge,1938,USA,Sub-urban,Truss/Arch,Steel,256,40,2,Wind,,,,
Omaha Railroad Bridge,1877,USA,Sub-urban,Truss/Arch,Steel,76,4,1,Wind,,,,
Wailuku River Bridge,1946,USA,Sub-urban,Truss/Arch,Steel,42,23,1,Wind,,,,
Fremont Wagon Bridge,1912,USA,Sub-urban,Truss/Arch,Steel,60,41,2,Storm/Scour,,,,
Popo Agie River Bridge,2010,USA,Sub-urban,Truss/Arch,Steel,50,25,2,Storm/Scour,,,,
I-5 Coalinga Bridge,1995,USA,Sub-urban,Truss/Arch,Steel,30,25,2,Storm/Scour,,,,
Ely Street Bridge,1891,USA,Sub-urban,Truss/Arch,Steel,27,123,1,Storm/Scour,,,,
Galveston Bay Wagon Bridge,1900,USA,Sub-urban,Truss/Arch,Steel,24,7,2,Storm/Scour,,,,
Elm River Bridge,2011,USA,Sub-urban,Truss/Arch,Steel,17,80,1,Storm/Scour,,,,
Oder bridge,1945,Germany,Sub-urban,Truss/Arch,Steel,370,53,2,Collision/Impact,,,,
Chesapeake Bay Bridge,1942,USA,Sub-urban,Truss/Arch,Steel,90,16,3,Collision/Impact,,,,
Skagit River,2013,USA,Sub-urban,Truss/Arch,Steel,85,41,2,Collision/Impact,,,,
Freeman Bridge,1947,Germany,Sub-urban,Truss/Arch,Steel,75,2,1,Collision/Impact,,,,
Laasan Bridge,1945,Germany,Sub-urban,Truss/Arch,Steel,50,149,2,Collision/Impact,,,,
Zhuoshui Fengyu Bridge,11/27/2013,"Chongqing, China",Sub-urban,Truss/Arch,Timber,30,14,1,Fire,,,,
Tehama Bridge,1881,USA,Sub-urban,Truss/Arch,Timber,40,10,2,Wind,,,,
Bartonsville Covered Bridge,2017,USA,Sub-urban,Truss/Arch,Timber,43,29,1,Storm/Scour,,,,
I-85,3/30/2017,"GA, USA",Sub-urban,I-girder,Prestressed concrete,30,64,6,Fire,,,,
Highway 310 and U.S. 175,10/13/2008,"Dallas, TX, USA",Sub-urban,I-girder,Prestressed concrete,20,21,4,Fire,,,,
Hatchie River Bridge,1989,USA,Sub-urban,I-girder,Prestressed concrete,31,15,2,Storm/Scour,,,,
Wu-Shi,1999,China,Sub-urban,I-girder,Prestressed concrete,35,37,2,Earthquake,,,,
I-Chang,1999,China,Sub-urban,I-girder,Reinforced concrete,24,39,2,Earthquake,,,,
Howard Avenue,3/25/2004,"Bridgeport, CT, USA",Sub-urban,I-girder,Composite,23,10,10,Fire,,,,
Schoharie Creek Bridge,1987,USA,Sub-urban,I-girder,Steel,30,32,4,Storm/Scour,,,,
Don Patricio Causeway,1933,USA,Sub-urban,I-girder,Timber,56,6,2,Storm/Scour,,,,
Morandi Bridge,2018,Italy,Urban,Cable-stayed,Prestressed concrete,210,51,4,Storm/Scour,,,,
Hanshin Expressway,1995,Japan,Urban,Cable-stayed,Prestressed concrete,36,25,4,Earthquake,,,,
Nienburg Bridge,1825,Germany,Urban,Cable-stayed,Composite,73,1,2,Collision/Impact,,,,
Sava Bridge,2009,Croatia,Urban,Cable-stayed,Steel,40,29,6,Storm/Scour,,,,
Tacoma Narrows Bridge,1940,USA,Urban,Suspension,Steel,853,1,2,Wind,,,,
Lewiston-Queenstown suspension bridge,1864,USA,Urban,Suspension,Steel,318,13,2,Wind,,,,
Silver Bridge,1967,USA,Urban,Suspension,Steel,214,39,2,Wind,,,,
Wheeling Bridge,1854,"WV, USA",Urban,Suspension,Steel,308,5,2,Storm/Scour,,,,
Roche-Bernard,1852,France,Urban,Suspension,Steel,198,13,2,Storm/Scour,,,,
Basse-Chaîne Bridge,1850,France,Urban,Suspension,Steel,105,11,2,Storm/Scour,,,,
Allen Street Bridge (Old),1923,USA,Urban,Suspension,Timber,182,17,2,Storm/Scour,,,,
Dryburgh Abbey chain,1817,Scotland,Urban,Suspension,Timber,79,1,1,Storm/Scour,,,,
Chester Bridge,1944,USA,Urban,Truss/Arch,Steel,204,2,2,Wind,,,,
"Chain suspension br. In Nassau, wooden deck",1833,Germany,Urban,Truss/Arch,Steel,75,7,2,Wind,,,,
Main Street Bridge,1913,USA,Urban,Truss/Arch,Steel,143,26,2,Storm/Scour,,,,
Walnut Street Bridge,1996,USA,Urban,Truss/Arch,Steel,73,106,2,Storm/Scour,,,,
Melan Bridge,1965,USA,Urban,Truss/Arch,Steel,38,67,3,Storm/Scour,,,,
Hardy Bridge,1982,USA,Urban,Truss/Arch,Steel,30,66,2,Storm/Scour,,,,
Carmi Bridge,1916,USA,Urban,Truss/Arch,Steel,25,38,2,Storm/Scour,,,,
Fassett Street Bridge,1957,USA,Urban,Truss/Arch,Steel,88,61,2,Collision/Impact,,,,
Calumet River Bridge,1988,USA,Urban,Truss/Arch,Steel,71,74,2,Collision/Impact,,,,
Drake's Creek Bridge,1947,USA,Urban,Truss/Arch,Steel,53,70,2,Collision/Impact,,,,
Münchenstein Bridge,1891,Switzerland,Urban,Truss/Arch,Steel,42,16,1,Collision/Impact,,,,
Ashtabula River Bridge,1957,USA,Urban,Truss/Arch,Steel,20,25,1,Collision/Impact,,,,
Pico Rivera,11/3/2005,"Pico Rivera, CA, USA",Urban,Truss/Arch,Timber,68,15,5,Fire,,,,
Panjagutta Flyover,2007,India,Urban,Box-girder,Prestressed concrete,20,1,2,Wind,,,,
Brighton chain pier,1836,England,Urban,Box-girder,Timber,78,13,2,Storm/Scour,,,,
California Cypress Freeway Overpass,1989,USA,Urban,I-girder,Reinforced concrete,23,38,8,Earthquake,,,,
MacArthur Maze,4/29/2007,"Oakland, CA, USA",Urban,I-girder,Composite,24.5,37,3,Fire,,,,
Hazel Park,7/15/2009,"Detroit, MI, USA",Urban,I-girder,Composite,24,1,5,Fire,,,,
Al-Sheikh Mansour bridge,2/11/2014,"El Cairo, Egypt",Urban,I-girder,Composite,20,30,2,Fire,,,,
NYS Thruway,10/9/1997,"Yonkers, NY, USA",Urban,I-girder,Composite,18.3,9,7,Fire,,,,
Second Yibin Bridge,1997,China,Urban,Truss/Arch,Reinforced concrete,160,1,2,Wind,,,,
General Rafael Urdaneta Bridge,1964,Venezuela,Rural,Cable-stayed,Prestressed concrete,235,2,4,Collision/Impact,,,,
"Sidney Lanier Bridge,",1972,USA,Rural,Cable-stayed,Prestressed concrete,76,24,4,Collision/Impact,,,,
Brunswick,,,,,,,,,,,,,
Mezcala,3/17/2007,"Guerrero, Mexico",Rural,Cable-stayed,Steel,313,14,4,Fire,,,,
Jose Urquiza,3/29/2010,"Entre Rios, Argentina",Rural,Cable-stayed,Steel,220,33,3,Fire,,,,
Cedar Bridge,1963,"Madison County, IA",Rural,Truss/Arch,Prestressed concrete,20,13,1,Fire,,,,
Garvin Brook Bridge,2017,USA,Rural,Truss/Arch,Reinforced concrete,14,111,1,Storm/Scour,,,,
Ankeny Luten Arch,2018,USA,Rural,Truss/Arch,Reinforced concrete,12,7,1,Storm/Scour,,,,
Norfolk Southern Train,1999,"New Brighton, PA, USA",Rural,Truss/Arch,Steel,49.5,80,1,Fire,,,,
Opatovice,1945,"Opatovice, Czech Republic",Rural,Truss/Arch,Steel,30,40,2,Fire,,,,
Little Black River,4/6/2008,"Ripley County, MI,USA",Rural,Truss/Arch,Steel,25,66,1,Fire,,,,
Newcastle Bridge,1980,USA,Rural,Truss/Arch,Steel,73,90,2,Wind,,,,
Hurricane Creek Bridge,2015,USA,Rural,Truss/Arch,Steel,36,98,2,Wind,,,,
Elrod Bridge,5/17/1950,USA,Rural,Truss/Arch,Steel,35,105,1,Wind,,,,
Sangamon River Bridge,7/1/2004,USA,Rural,Truss/Arch,Steel,60,9,2,Storm/Scour,,,,
CRANDIC Cedar River Bridge,1893,USA,Rural,Truss/Arch,Steel,48,25,1,Storm/Scour,,,,
Huey P. Long Bridge,1906,USA,Rural,Truss/Arch,Steel,240,42,4,Collision/Impact,,,,
Hamilton Street Bridge,1884,USA,Rural,Truss/Arch,Steel,20,104,2,Collision/Impact,,,,
Delville Covered Bridge,1952,"Wheatfield Township, Pennsylvania, USA",Rural,Truss/Arch,Timber,53,125,1,Fire,,,,
Frankenlust township bridge,2004,"Frankenlust, MI, USA",Rural,Truss/Arch,Timber,5,30,1,Fire,,,,
Kinzua Viaduct,1949,USA,Rural,Truss/Arch,Timber,626,103,1,Storm/Scour,,,,
Wiehltalbrücke,2005,"Gummersbach, Germany",Rural,Box-girder,Steel,60,33,8,Fire,,,,
Puyallup River,1972,"Tacoma, WA, USA",Rural,I-girder,Prestressed concrete,44.5,5,4,Fire,,,,
Norwalk River Bridge,2018,"Ridgefield, CT, USA",Rural,I-girder,Prestressed concrete,22,48,4,Fire,,,,
Fridley Bridge,1936,USA,Rural,I-girder,Prestressed concrete,20,25,1,Storm/Scour,,,,
Queen Isabel Causeway,2010,USA,Rural,I-girder,Prestressed concrete,24,28,4,Collision/Impact,,,,
Bolton Road Bridge,1953,USA,Rural,I-girder,Prestressed concrete,10,25,2,Collision/Impact,,,,
I-75 Big slough Canal,1912,"North Port, FL, USA",Rural,I-girder,Reinforced concrete,56,30,2,Fire,,,,
Dismal Bridge,2013,"Alexandria, Tennessee, USA",Rural,I-girder,Reinforced concrete,28,30,2,Fire,,,,
Rockaway River Bridge,1926,USA,Rural,I-girder,Reinforced concrete,20,25,3,Storm/Scour,,,,
Harrisburg (1),2017,"Harrisburg, PA, USA",Rural,I-girder,Composite,44,43,2,Fire,,,,
Birmingham 2004,1993,"Birmingham, AL, USA",Rural,I-girder,Composite,40,30,3,Fire,,,,
Harrisburg (2),1930,"Harrisburg, PA, USA",Rural,I-girder,Composite,28,43,1,Fire,,,,
Birmingham 2002,1949,"Birmingham, AL, USA",Rural,I-girder,Composite,25,40,4,Fire,,,,
I-40 bridge,1974,USA,Rural,I-girder,Composite,176,30,4,Collision/Impact,,,,
Tay Bridge,2018,Scotland,Rural,I-girder,Steel,75,2,1,Wind,,,,
Quinebaug River Bridge,4/12/2002,USA,Rural,I-girder,Steel,25,50,1,Storm/Scour,,,,
Waubonsie Creek Bridge,4/29/2005,USA,Rural,I-girder,Steel,18,91,1,Storm/Scour,,,,
Bass Point Creek Trestle,4/2/2002,USA,Rural,I-girder,Timber,243,11,1,Storm/Scour,,,,
Sealy Bridge,7/7/2013,USA,Sub-urban,Cable-stayed,Reinforced concrete,20,25,2,Collision/Impact,,,,
Benjamin Harrison Memorial,Aug-08,USA,Sub-urban,Cable-stayed,Composite,111,11,2,Collision/Impact,,,,
Bridge,,,,,,,,,,,,,
Charilaos Trikoupis Bridge,1875,Greece,Sub-urban,Cable-stayed,Steel,560,1,4,Fire,,,,
Hidalgo-Reynosa International Bridge,Aug-03,USA,Sub-urban,Suspension,Steel,137,7,1,Storm/Scour,,,,
Hintze Ribeiro disaster,5/23/2006,Portugal,Sub-urban,Truss/Arch,Composite,48,30,2,Storm/Scour,,,,
James Street Swing Bridge,6/18/2008,"Thunder Bay, Canada",Sub-urban,Truss/Arch,Steel,40,105,2,Fire,,,,
Elbe River Bridge,8/21/2009,Germany,Sub-urban,Truss/Arch,Steel,98,30,2,Storm/Scour,,,,
Fraser Bridge,1/2/1998,USA,Sub-urban,Truss/Arch,Steel,45,38,2,Storm/Scour,,,,
South Front Street Bridge,5/19/2013,USA,Sub-urban,Truss/Arch,Steel,42,44,1,Storm/Scour,,,,
US52 Running Slough Bridge,2003,USA,Sub-urban,Truss/Arch,Steel,36,33,2,Storm/Scour,,,,
San Francisco–Oakland Bay Bridge,1963,USA,Sub-urban,Truss/Arch,Steel,23,53,10,Earthquake,,,,
Sunshine Skyway Bridge,1957,USA,Sub-urban,Truss/Arch,Steel,366,9,4,Collision/Impact,,,,
Eggner's Ferry Bridge,2011,USA,Sub-urban,Truss/Arch,Steel,170,80,4,Collision/Impact,,,,
Judge William Seeber Bridge,2005,USA,Sub-urban,Truss/Arch,Steel,110,36,4,Collision/Impact,,,,
Kattwykbrücke,2005,Germany,Sub-urban,Truss/Arch,Steel,109,18,2,Collision/Impact,,,,
Second Narrows Bridge in,2016,Canada,Sub-urban,Truss/Arch,Steel,91,2,2,Collision/Impact,,,,
Vancouver,,,,,,,,,,,,,
Bridge in Shepherdsville near Louisville,2011,USA,Sub-urban,Truss/Arch,Steel,46,30,1,Collision/Impact,,,,
Denville,7/24/1998,"Denville, NJ, USA",Sub-urban,Box-girder,Prestressed concrete,27,40,9,Fire,,,,
Elysian Park,5/5/2014,"Glendale, CA, USA",Sub-urban,Box-girder,Reinforced concrete,26,49,4,Fire,,,,
I-270/I-70,2017,"Columbus, Ohio, USA",Sub-urban,Box-girder,Reinforced concrete,20,59,2,Fire,,,,
Ferdan Bridge,1938,Egypt,Sub-urban,I-girder,Prestressed concrete,79,12,2,Collision/Impact,,,,
Manchac Bridge,2007,USA,Sub-urban,I-girder,Prestressed concrete,33,1,4,Collision/Impact,,,,
Franklin (I),1964,"Franklin, Tennessee, USA",Sub-urban,I-girder,Reinforced concrete,40,30,2,Fire,,,,
Montebello,2002,"Montebello, CA, USA",Sub-urban,I-girder,Reinforced concrete,38,44,6,Fire,,,,
Manatee,1977,"Tampa, FL, USA",Sub-urban,I-girder,Reinforced concrete,31,27,4,Fire,,,,
Highway M1,1999,"Mill Hill, London, UK",Sub-urban,I-girder,Reinforced concrete,13,56,6,Fire,,,,
Franklin (II),2006,"Franklin, Tennessee, USA",Sub-urban,I-girder,Composite,40,0,6,Fire,,,,
Riderwood,1913,"Baltimore, MD, USA",Sub-urban,I-girder,Composite,30,30,7,Fire,,,,
I-285 over GA400,1987,"Atlanta, GA, USA",Sub-urban,I-girder,Composite,30,32,4,Fire,,,,
I-30 in Forth Worth,1905,"Forth Worth, TX, USA",Sub-urban,I-girder,Composite,24,54,8,Fire,,,,
Tasman Bridge,1938,Australia,Sub-urban,I-girder,Steel,95,15,5,Collision/Impact,,,,
Emery Crossing Road Overpass,1877,USA,Sub-urban,I-girder,Steel,18,111,1,Collision/Impact,,,,
14th Street bridge,1946,USA,Urban,Cable-stayed,Prestressed concrete,23,40,4,Collision/Impact,,,,
Lacey V. Murrow Memorial Bridge,1912,USA,Urban,Cable-stayed,Reinforced concrete,50,50,4,Storm/Scour,,,,
Kapellbrücke Bridge,2010,Switzerland,Urban,Cable-stayed,Timber,204,30,1,Fire,,,,
Puente Marcial Candioti Bridge,1995,Argentina,Urban,Suspension,Steel,147,55,2,Storm/Scour,,,,
Liberty Bridge,1891,"PA, USA",Urban,Truss/Arch,Steel,137,89,4,Fire,,,,
Webster Street Bridge,1900,USA,Urban,Truss/Arch,Steel,107,28,2,Collision/Impact,,,,
Severn Railway Bridge,2011,England,Urban,Truss/Arch,Steel,100,81,2,Collision/Impact,,,,
John Grace Memorial,1945,USA,Urban,Truss/Arch,Steel,67,17,2,Collision/Impact,,,,
Bridge ,,,,,,,,,,,,,
Stubenrauch Bridge,1942,Germany,Urban,Truss/Arch,Steel,56,37,4,Collision/Impact,,,,
Patullo Bridge,2013,"Surrey, British Columbia, Canada",Urban,Truss/Arch,Timber,18,72,4,Fire,,,,
Great Belt Fixed Link,1947,Denmark,Urban,Box-girder,Prestressed concrete,110,9,4,Collision/Impact,,,,
"U.S. 175 at Bexar Street, Dallas",1945,"Dallas, TX, USA",Urban,Box-girder,Reinforced concrete,23.5,30,4,Fire,,,,
Guokeng Town,11/27/2013,China,Urban,Box-girder,Reinforced concrete,20,30,2,Fire,,,,
Autobahn 57,1881,"Dormagen, Germany",Urban,Box-girder,Reinforced concrete,20,30,4,Fire,,,,
Pont du Mathilde,2017,"Rouen, France",Urban,Box-girder,Composite,38.5,38,6,Fire,,,,
Lazienkovski Bridge,3/30/2017,"Warsaw, Poland",Urban,Box-girder,Steel,80,41,6,Fire,,,,
St. Petersburg,10/13/2008,"St. Petersburg, FL, USA",Urban,I-girder,Reinforced concrete,33,28,2,Fire,,,,
Jeffersoncity,1989,"Jeffersoncity, MO, USA",Urban,I-girder,Reinforced concrete,15,30,2,Fire,,,,
Hood Canal Bridge,1999,USA,Urban,I-girder,Reinforced concrete,183,18,4,Storm/Scour,,,,
Chester Creek,1999,"Chester Creek, PA, USA",Urban,I-girder,Composite,21,33,3,Fire,,,,
Nueces Bay Causeway,3/25/2004,USA,Urban,I-girder,Steel,25,42,2,Storm/Scour,,,,
Big Four,1987,"Louisville, KY, USA",Rural,Truss/Arch,Steel,167,115,1,Fire,,,,
Puente sobre el canal de Castilla,1933,"Palencia, Spain",Rural,Truss/Arch,Steel,80,30,4,Fire,,,,
Stop thirty Road,2018,"Nashville, TN, USA",Rural,Box-girder,Reinforced concrete,28,30,2,Fire,,,,
Sweetwater,1995,"Sweetwater, TX, USA",Rural,I-girder,Prestressed concrete,57,1,1,Fire,,,,
Bill Williams Bridge,1825,"Parker, AZ, USA",Rural,I-girder,Prestressed concrete,23,30,2,Fire,,,,
Washington County,2009,"Washington County, OR, USA",Rural,I-girder,Prestressed concrete,23,134,1,Fire,,,,
Rosario,1940,"Rosario, Argentina",Rural,I-girder,Reinforced concrete,350,14,4,Fire,,,,
Valdosta,1864,"Valdosta, GA, USA",Rural,I-girder,Reinforced concrete,33,30,4,Fire,,,,
Millersville,1967,"Millersville, TN, USA",Rural,I-girder,Reinforced concrete,17.5,30,2,Fire,,,,
California Avenue Overpass,1854,"Spartanburg, SC, USA",Rural,I-girder,Reinforced concrete,12.3,47,2,Fire,,,,
Elkridge,1852,"Elkridge, MD, USA",Rural,I-girder,Composite,48,47,1,Fire,,,,
Indianapolis,1850,"Indianapolis, IN, USA",Rural,I-girder,Composite,18.5,41,4,Fire,,,,
RI37 Expressway,1923,"Cranston, RI, USA",Rural,I-girder,Steel,25,37,3,Fire,,,,
Grenzwald Bridge,1817,Germany,Sub-urban,Cable-stayed,Composite,125,4,4,Fire,,,,
Xupu Bridge,1944,China,Sub-urban,Cable-stayed,Steel,590,14,8,Fire,,,,
Hedong Cable-Stayed,1833,China,Sub-urban,Cable-stayed,Steel,360,10,4,Fire,,,,
Walt Whitman,1913,"New Jersey, USA",Sub-urban,Suspension,Steel,610,61,6,Fire,,,,
Chain suspension bridge,1996,Wales,Sub-urban,Suspension,Steel,177,1,3,Wind,,,,
Ambassador Bridge,1965,"Detroit, MI, USA",Sub-urban,Truss/Arch,Steel,560,89,4,Fire,,,,
Belle Vernon Bridge,1982,"Belle Vernon, PA, USA",Sub-urban,Truss/Arch,Steel,170,66,4,Fire,,,,
Pulaski Skyway,1916,"Jersey, New Jersey, USA",Sub-urban,Truss/Arch,Steel,168,82,4,Fire,,,,
Britannia Tubular Bridge,1957,Wales,Sub-urban,Truss/Arch,Steel,140,120,4,Fire,,,,
Chesapeake Bay Bridge,1988,"Sandy Point, MD, USA",Sub-urban,Truss/Arch,Steel,90,41,3,Fire,,,,
Pasarela F1,1947,"Valencia, Spain",Sub-urban,Truss/Arch,Steel,30,5,1,Fire,,,,
Sidney Lanier Bridge,1891,USA,Sub-urban,Truss/Arch,Steel,380,27,4,Collision/Impact,,,,
Eko Bridge,1957,Nigeria,Sub-urban,Box-girder,Prestressed concrete,62,38,2,Fire,,,,
Sanguenay's Dubuc Bridge,11/3/2005,"Saguenay, Montreal, Canada",Sub-urban,Box-girder,Composite,60,65,2,Fire,,,,
Port St. Lucie,2007,"Port St. Lucie, FL, USA",Sub-urban,I-girder,Prestressed concrete,38,51,2,Fire,,,,
Belle Isle,1836,"Oklahoma, OK, USA",Sub-urban,I-girder,Prestressed concrete,33.5,26,3,Fire,,,,
Burbank,1989,"Burbank, CA, USA",Sub-urban,I-girder,Prestressed concrete,26,50,2,Fire,,,,
Motorway bridge nr.,4/29/2007,Austria,Sub-urban,I-girder,Prestressed concrete,102,30,2,Storm/Scour,,,,
Kufstein,,,,,,,,,,,,,
Shi-Nan,7/15/2009,China,Sub-urban,I-girder,Prestressed concrete,45,2,2,Earthquake,,,,
Yen-Feng,2/11/2014,China,Sub-urban,I-girder,Prestressed concrete,35,15,4,Earthquake,,,,
Ling-Wei,10/9/1997,China,Sub-urban,I-girder,Prestressed concrete,30,12,2,Earthquake,,,,
Yang-Ping,1997,China,Sub-urban,I-girder,Prestressed concrete,13,13,4,Earthquake,,,,
Bartow,1964,"Bartow, West Virginia, USA",Sub-urban,I-girder,Reinforced concrete,37,30,2,Fire,,,,
